date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191030,Raptors,Pistons,home,87.0,37.5,43.34439732285563,25.75,22.75,88.58531131750945,39.25,14.25,36.58882783882784,22.75,5.75,53.5,6.75,19.25,-9.0,12,1,212.0,26.0,O,2
20191030,Thunder,Trailblazers,home,84.75,37.5,44.40661920507238,24.75,17.25,69.8710899315738,29.25,10.75,35.6985061536692,18.75,4.5,49.75,6.75,16.5,2.0,-3,0,221.5,-20.5,U,-1
20191030,Hornets,Kings,away,86.5,38.25,44.25475378035618,19.75,14.25,73.4957298136646,36.75,14.75,39.530225521604834,24.25,4.25,41.5,5.25,18.25,7.0,7,0,223.5,5.5,O,-3
20191030,Seventysixers,Timberwolves,home,86.66666666666667,38.666666666666664,44.616909459708644,30.333333333333332,22.0,72.96296296296295,34.666666666666664,10.333333333333334,29.73416448160425,25.333333333333332,7.0,49.666666666666664,10.666666666666666,19.333333333333332,-7.0,22,1,222.5,-10.5,U,3
20191030,Bulls,Cavaliers,away,95.0,38.5,40.481816936951034,23.0,17.5,76.4426406926407,35.5,9.75,27.499999999999996,20.0,4.5,44.25,10.0,11.75,-1.0,-6,0,217.0,11.0,O,-2
20191031,Heat,Hawks,away,86.0,40.25,46.80515553569861,33.75,24.75,72.12606837606837,32.25,12.75,39.713668947539915,23.75,6.5,48.75,8.5,21.0,-6.5,9,1,215.0,-12.0,U,1
20191031,Spurs,Clippers,away,92.0,44.333333333333336,48.3780000174992,28.333333333333332,22.333333333333332,79.30283224400871,23.666666666666668,8.0,33.621933621933614,25.333333333333332,7.0,51.333333333333336,5.666666666666667,16.0,5.0,-6,0,226.0,-26.0,U,3
20191031,Clippers,Spurs,home,82.6,42.2,51.216522008039625,25.2,20.0,80.15934065934066,30.2,12.0,39.45102320540609,23.8,5.2,41.0,7.4,16.6,-5.0,6,1,226.0,-26.0,U,-1
20191031,Hawks,Heat,home,84.25,39.5,46.84477111102217,23.0,16.0,68.61607142857142,31.75,10.0,31.755583126550867,25.0,5.25,43.0,10.0,18.0,6.5,-9,0,215.0,-12.0,U,-2
20191031,Nuggets,Pelicans,away,90.5,37.25,41.27329613872057,24.25,19.75,80.4359991859992,31.75,11.5,36.082175925925924,22.0,5.5,48.5,8.0,13.25,-4.0,-15,0,225.5,3.5,O,-1
